,fips,cases,deaths,never,rarely,sometimes,frequently,always,retail,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,pop_total,pop_density,candidate,risk_factor
146,21111,402,27,0.036000000000000004,0.048,0.083,0.23,0.602,-42.0,-9.0,-9.0,-37.0,-48.0,20.0,741096,1948.1,0,0
147,21111,402,27,0.036000000000000004,0.048,0.083,0.23,0.602,-42.0,-27.0,34.0,-39.0,-60.0,24.0,741096,1948.1,0,0
148,21111,402,27,0.036000000000000004,0.048,0.083,0.23,0.602,-38.0,2.0,78.0,-27.0,-51.0,19.0,741096,1948.1,0,0
149,21111,402,27,0.036000000000000004,0.048,0.083,0.23,0.602,-39.0,-16.0,13.0,-23.0,-37.0,16.0,741096,1948.1,0,0
150,24025,86,0,0.008,0.009000000000000001,0.037000000000000005,0.168,0.778,-40.0,-22.0,96.0,-51.0,-54.0,23.0,244826,560.1,1,0
151,25027,1296,30,0.02,0.027000000000000003,0.043,0.142,0.768,-46.0,-20.0,-5.0,-46.0,-55.0,24.0,798552,528.6,0,1
152,34031,4372,71,0.028999999999999998,0.015,0.063,0.138,0.7559999999999999,-62.0,-13.0,-11.0,-58.0,-63.0,29.0,501226,2715.3,0,1
153,36103,15844,328,0.04,0.019,0.053,0.106,0.782,-67.0,-28.0,-47.0,-81.0,-69.0,31.0,1493350,1637.4,1,1
154,36103,15844,328,0.04,0.019,0.053,0.106,0.782,-57.0,-4.0,35.0,-70.0,-60.0,28.0,1493350,1637.4,1,1
155,36111,422,2,0.013999999999999999,0.023,0.045,0.1,0.818,-49.0,-4.0,30.0,-47.0,-52.0,22.0,182493,162.3,0,1
156,41019,12,0,0.08199999999999999,0.052000000000000005,0.11599999999999999,0.239,0.511,-45.0,-20.0,30.0,-48.0,-67.0,27.0,107667,21.4,1,0
157,41019,12,0,0.08199999999999999,0.052000000000000005,0.11599999999999999,0.239,0.511,-33.0,-18.0,8.0,-14.0,-49.0,21.0,107667,21.4,1,0
158,41019,12,0,0.08199999999999999,0.052000000000000005,0.11599999999999999,0.239,0.511,-40.0,-14.0,103.0,-18.0,-56.0,21.0,107667,21.4,1,0
159,41019,12,0,0.08199999999999999,0.052000000000000005,0.11599999999999999,0.239,0.511,-37.0,1.0,22.0,-35.0,-48.0,19.0,107667,21.4,1,0
160,41019,12,0,0.08199999999999999,0.052000000000000005,0.11599999999999999,0.239,0.511,-27.0,1.0,18.0,-3.0,-35.0,10.0,107667,21.4,1,0
161,41047,218,9,0.028999999999999998,0.013000000000000001,0.053,0.196,0.71,-40.0,-17.0,-36.0,-12.0,-38.0,15.0,315335,266.7,1,0
162,41047,218,9,0.028999999999999998,0.013000000000000001,0.053,0.196,0.71,-40.0,-13.0,32.0,-38.0,-51.0,18.0,315335,266.7,1,0
163,41047,218,9,0.028999999999999998,0.013000000000000001,0.053,0.196,0.71,-36.0,-8.0,57.0,-18.0,-43.0,15.0,315335,266.7,1,0
164,45083,126,4,0.06,0.091,0.126,0.22699999999999998,0.496,-38.0,-9.0,21.0,-52.0,-43.0,17.0,284307,351.9,1,0
165,47037,1140,13,0.02,0.037000000000000005,0.086,0.18100000000000002,0.677,-46.0,-15.0,-32.0,-59.0,-55.0,21.0,626681,1243.3,0,1
166,47157,912,21,0.034,0.025,0.105,0.184,0.653,-32.0,-4.0,-19.0,-21.0,-43.0,16.0,927644,1215.5,0,0
167,53035,119,1,0.024,0.003,0.051,0.136,0.7859999999999999,-34.0,-10.0,31.0,-56.0,-52.0,19.0,251133,635.9,0,0
168,4019,464,16,0.023,0.024,0.073,0.121,0.759,-41.0,-13.0,-29.0,-41.0,-49.0,18.0,980263,106.7,0,0
169,6089,24,3,0.095,0.055999999999999994,0.071,0.23199999999999998,0.547,-33.0,-3.0,61.0,-21.0,-40.0,12.0,177223,46.9,1,0
170,8005,764,19,0.013000000000000001,0.026000000000000002,0.065,0.193,0.703,-43.0,-18.0,36.0,-42.0,-57.0,23.0,572003,716.7,0,0
171,8069,167,8,0.013000000000000001,0.037000000000000005,0.06,0.231,0.659,-43.0,-15.0,31.0,-34.0,-55.0,21.0,299630,115.4,0,0
172,13089,732,12,0.036000000000000004,0.027999999999999997,0.075,0.156,0.7040000000000001,-43.0,-19.0,26.0,-48.0,-59.0,24.0,691893,2585.7,0,0
